,rank-title,rank-sub,price,discount,selling_proposition,goods-title-link
59,Unranked(New),General Application,4.0,0,0,"1/2pcs Reusable Silicone Air Fryer Liners For Air Fryer And Baking Tray, Air Fryer Accessories For Home Kitchen"
60,#3 Best Sellers,in Cleaning Appliances,2.7,52,0,Portable Mini Battery Powered Car & Desktop & Keyboard Vacuum Cleaner For Home Office Cleaning
61,#3 Best Sellers,in Electric Hair Clippers,2.8,3,0,"Hair Clipper, Men's Trimmer, Abs Body, Golden Color, Dragon Pattern, Mens Grooming Kit"
62,Unranked(New),General Application,1.74,21,1800.0,1pc Stainless Steel  Mini Electric Coffee Blender Handheld Eggbeater Bubble Drink Stir Bar Household Kitchen
63,Unranked(New),General Application,1.3,50,100.0,1PC Epilator Face Hair Lipstick Shaver Electric Eyebrow Trimmer Women's Painless Hair Removal Remover Mini Shaver Epilator For Women
64,#2 Best Sellers,in Led Makeup Mirror,4.52,40,0,"Led Makeup Mirror With Touch Screen, 3 Light Modes, Portable Stand And Foldable Compact Mirror ,Lighted Travel Makeup Mirror,  Vanity Cosmetic Mirror With Lights, Rechargeable 1500mAh Battery, 3- Color Light Modes Dimming LED Light Up Mirror , Travel Accessories For Makeup"
65,Unranked(New),General Application,2.33,37,10.0,"1pc-Handmade Grass Broom, Small Handmade Dust Broom, Cleaning Tools, For Housekeeping Services Offices Hotels"
66,Unranked(New),General Application,2.82,40,10.0,"1pc Refrigerator Drawer Type Egg Fruit Storage Box, Kitchen Accessories Organizer, Shelf Fridge Storage Shelf (26*18*5cm/10.2*7.1*1.9in)"
67,Unranked(New),General Application,67.1,0,0,"1pc IPL Hair Removal Device, Hair Remover, Laser Hair Removal Equipment, Dual Purpose Hair Removal & Skin Rejuvenation, 990,000 Flashes, 9 Energy Levels, The Higher The Level, The Greater The Energy, For Home Use Permanent Hair Removal"
68,Unranked(New),General Application,10.3,4,5000.0,Hair Curling Iron Professional Mini Hair Straightener Curler 2 In 1 Flat Iron Small Thin Plate Hair Straightening Curling Styling Tools Heated Styling Iron Brush
