,rating,total_rating,price,next_month_bought,offer,brand,model_name,screen_size_inches,colour,hard_disk_size_GB,cpu_model,ram_GB,os,special_features,graphics_card
192,0.0,0,142976.0,0,13,MSI,Cyborg 15,40,Translucent Black,,Intel Core 7,16,Windows 11 Home,Unknown,Dedicated
194,5.0,4,150990.0,0,6,Microsoft,Surface Laptop,13,Graphite,512.0,Snapdragon,16,Windows 11 Home,HD Audio,Integrated
195,3.3,46,77500.0,0,18,HP,HP Laptop,35,Silver,512.0,Others,16,Windows 11 Home,"Anti Glare Coating, Built in Microphone",Integrated
196,3.8,52,36990.0,50,47,Lenovo,Lenovo V14,14,Iron Grey,512.0,Core i3,8,Windows 11 Home,"Anti Glare Coating, HD Audio, Lightweight, Spill Resistant",Integrated
200,3.2,10,33999.0,200,57,Dell,Inspiron 14,14,Ice Blue,512.0,Core i3,8,Windows 11 Home,"Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot",Integrated
201,0.0,0,10990.0,0,84,Generic,5530-8-128,15,Black,128.0,Core i5 3340M,8,Windows 10 Pro,Business Laptop,Integrated
202,4.0,80,40990.0,50,33,acer,Travel Lite,14,Silver,512.0,Ryzen 3,16,Windows 11 Pro,"Anti Glare Coating, HD Audio, Lightweight, Spill Resistant",Integrated
203,0.0,0,25990.0,0,0,Generic,Ienovo T590-16-512,15,Black,512.0,Core i7-8665U,16,Windows 10,"Anti Glare Coating, Fingerprint Reader, Webcam",Integrated
205,3.2,4,178104.0,0,0,HP,16-aa0015TU,40,Black,1000.0,Intel Core Ultra 7,16,Windows 11 Home,"9MP IR Camera, Backlit KB",Integrated
206,4.0,512,32870.0,0,42,Lenovo,IDEAPAD,15,Cloud Grey,512.0,Ryzen 3,8,Windows 11 Home,"Anti Glare Coating, HD Audio, Memory Card Slot",Integrated
