,rank-title,rank-sub,price,selling_proposition,discount,goods-title-link
100,#5 Best Sellers,in Hair Accessory Sets,381.9,0.0,36.0,"Dark Hair Accessories Set,Hair Scrunchies For Women, Soft Elastic Hair Ties, Ponytail Holder,Rubber"
101,Unranked(New),General_jewelry,180.5,30.0,5.0,"2pcs/Set Black And White Portable Mini Clear Zipper Key Pouch Keychain, Compact Multi-Function Storage Bag, Earphone And Charger Case With Keychain, Transparent Travel Accessory"
102,Unranked(New),General_jewelry,617.5,7300.0,0.0,"3pcs/Set Chic European And American Style Braided Steel Wire Bangle, Personality Roman Numerals Stainless Steel Women Bracelet Set"
103,Unranked(New),General_jewelry,136.79999999999998,2300.0,20.0,1pc Fashion Trend Simple Elegant Lady Style Golden 26 Letters Large Letter Pendant Necklace
104,Unranked(New),General_jewelry,332.5,2600.0,0.0,5pairs French Sweet & High-End & Personalized & Fashionable & Vintage & Luxurious & Faux Pearl & Cracked Ice Pattern & Windmill & Flower & Flame Design Exquisite Earrings Set
105,Unranked(New),General_jewelry,133.0,4100.0,0.0,Random Color Beaded Ball Drop Earrings
106,Unranked(New),General_jewelry,161.5,2400.0,0.0,French Vintage Style Purple Faux Pearl Bracelet For Women's Party Jewelry
107,Unranked(New),General_jewelry,142.5,1100.0,0.0,1 Pc Dainty Faux Pearl Bead Chain Necklace Choker Necklace For Women Daily Wear
108,Unranked(New),General_jewelry,237.5,10000.0,7.0,"1pc High-Pressure Spray Bottle For Hairdressing And Makeup, Moisturizing, Refillable, Fine Mist Sprayer For Gardening And Watering Plants"
109,Unranked(New),General_jewelry,285.0,600.0,6.0,"2pcs/Package Orange Acetate Mermaid Color Iridescent Marbling Half Moon Hair Claw Clip Elegant Hair Accessories For Women's Party, Dance, And Tea Party Hairstyling Street"
110,Unranked(New),General_jewelry,503.5,300.0,0.0,"10/20/30 Strands 6mm Colored Clay Beads, Mixed Color Flat Round Heishi Beads, Craft Kit For Girls, For Diy Jewelry Making Of Bracelets, Necklaces And Earrings"
111,#2 Best Sellers,in Women Beaded Bracelets,209.00000000000003,0.0,0.0,"2-4Pcs Golden/Silvery Beaded Bracelets For Women, Golden Plated Faux Pearl Bracelets Gold Stackable Stretch Bead Ball Bracelet Set Stackable Stretch Bead Ball Bracelet Set Bohemian Faux Pearl Golden Bracelet Stack Jewelry Gifts For Women Teen Girls"
112,#2 Best Sellers,in Hand Fans,402.8,0.0,20.0,"1pc Women's Mini Cute Handheld Fan, Usb Port With Data Cable, Two Tone Flower Decor And Stand, Large Wind Power, Lightweight For Outdoors / Indoors, Dating Gift"
113,Unranked(New),General_jewelry,237.5,100.0,7.0,"1pc Women's Solid Color Wide Brim Baseball Cap, Sunscreen Comfort Horse Hat With Pony Tail Hole, Outdoor Wear Fashion Comfort Women's Summer Breathable Sun Hat, Outdoor Pony Tail Hat, Adjustable Sports Hat, Empty Top Design, Fashion Bucket Hat For Hiking Fashion Sun Hat, Adjustable Breastless Beach Hat, Breathable UV Protection Backless Horse Tail Hat, Outdoor Fashion Pointed Hat"
114,#4 Best Sellers,in Glasses Storage,82.65,0.0,57.0,"1Pc Portable Squeeze Eyeglasses Case - PU Leather Soft Sunglasses Bag Pouch, Pocket Mobile Phone Sunglasses Eyewear Organizer Holder"
115,Unranked(New),General_jewelry,275.5,10000.0,0.0,2pcs luxury exaggerated women's Cubic Zirconia pair ring set ring fashion women's ring personalized jewelry
