,rank-title,rank-sub,Price(₹),color-count,selling_proposition,discount,Product_Title
73,Unranked(New),General-Home-Textile,475.0,14.0,700,0.0,1pc Simple Light Pink Slow Rebound Memory Sponge Water Absorbing Non-slip Bath Mat For Bathroom
74,#6 Best Sellers,in Pillowcases & Shams,201.4,12.0,0,65.0,"LongNap™ 2pcs Premium Silky Satin Envelope Pillowcases Set, Soft Breatheable Wrink-Free Better For Hair Skin Sleep, Pillow Covers Without Filling, Pink"
75,#4 Best Sellers,in Bed Pillows,2165.0499999999997,4.0,0,53.0,"4pcs Throw Pillow Inserts,Home Decor ,Down Alternative Pillow Core,Soft Cushion Inner, White Decorative Pillow Inserts For Bedroom Living Room Sofa"
76,Unranked(New),General-Home-Textile,313.5,4.0,0,0.0,"1/5/10/ Gray Flat Microfiber Cleaning Cloth,Kitchen,Kitchen Items,Cleaning,Kitchen Towel"
77,Unranked(New),General-Home-Textile,494.0,18.0,1200,0.0,"1pc Modern Nordic Style Pure White Bedside Carpet For Living Room, Bedroom, Tatami, Cute Internet Celebrity Full Coverage Mat"
78,#1 Best Sellers,in Chair Covers,237.5,8.0,0,0.0,Jacquard Chair Seat Cover Dining Room Chair Slipcover Taupe 1pc
79,Unranked(New),General-Home-Textile,1330.0,11.0,300,65.0,Ultra-Soft 1800 Series Deep Pocket Bed Sheet Set (6-Piece)
80,Unranked(New),General-Home-Textile,518.7,4.0,100,19.0,"1pc Mesh Mosquito Net, Simple White Mosquito Net For Bedroom, Summer"
81,Unranked(New),General-Home-Textile,510.15000000000003,4.0,70,16.0,"1pc Of Outdoor Sunshade Umbrella Sail Sunshade Cloth, Windproof Cover For Private Greenhouse Sunshade, Suitable For Terrace, Greenhouse, Yard, Backyard Lawn, Garden, Outdoor Activities, Windproof Cover For Private Greenhouse Sunshade, Rectangular Canopy Sail Sunshade, UV Protection Cover"
82,Unranked(New),General-Home-Textile,724.85,5.0,300,18.0,"1pc Khaki Fluffy Rug, Modern Acrylic Anti-slip Floor Carpet For Home"
83,#4 Best Sellers,in Curtain Tracks & Accessories,209.00000000000003,4.0,0,0.0,"4Pcs Curtain Rod Brackets No Drilling, Self Adhesive Curtain Rod Holders Nail Free Adjustable Curtain Rod Hooks Curtain Hangers For Bathroom Kitchen Bathroom Hotel"
84,Unranked(New),General-Home-Textile,475.0,14.0,700,0.0,1pc Simple Light Pink Slow Rebound Memory Sponge Water Absorbing Non-slip Bath Mat For Bathroom
85,#6 Best Sellers,in Pillowcases & Shams,201.4,12.0,0,65.0,"LongNap™ 2pcs Premium Silky Satin Envelope Pillowcases Set, Soft Breatheable Wrink-Free Better For Hair Skin Sleep, Pillow Covers Without Filling, Pink"
86,#4 Best Sellers,in Bed Pillows,2165.0499999999997,4.0,0,53.0,"4pcs Throw Pillow Inserts,Home Decor ,Down Alternative Pillow Core,Soft Cushion Inner, White Decorative Pillow Inserts For Bedroom Living Room Sofa"
87,#1 Best Sellers,in Chair Covers,237.5,8.0,0,0.0,Jacquard Chair Seat Cover Dining Room Chair Slipcover Taupe 1pc
